tla	cop	egy_num	egy_lemma	demo_num	demo_lemma	english	german	tla_link	tla_link_d	MT
C2	ⲁ-	NA	NA	dm3836	r	[Perfect prefix with nominal subject, Coptic a-]	[Perfektpräfix bei nominalem Subjekt, kopt. a-]	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm3836	1
C5	ⲁ-	854495	ꜥ.t	NA	NA	part (of something)	Teil (von etwas)	https://thesaurus-linguae-aegyptiae.de/lemma/854495	_	1
C6	ⲁⲃⲉ	36610	ꜥbꜣ.yt	NA	NA	rope	Lenkseil; Fessel	https://thesaurus-linguae-aegyptiae.de/lemma/36610	_	0
C7	ⲁⲃⲱ	54110	bj.t	NA	NA	clapnet	Schlagnetz	https://thesaurus-linguae-aegyptiae.de/lemma/54110	_	0
C9	ⲁⲃⲱⲕ	NA	NA	d928	ꜥbq	[raven]	Rabe	_	https://thesaurus-linguae-aegyptiae.de/lemma/d928	0
C13	ⲁⲃⲉⲣⲏϫ	56610	brg.t	NA	NA	[a semi-precious stone (beryl?)]	[ein Halbedelstein (Beryll)]	https://thesaurus-linguae-aegyptiae.de/lemma/56610	_	0
C14	ⲁⲃⲥⲱⲛ	23930	jbzꜣ	NA	NA	[a plant (med.)]	[eine Ölpflanze (ätherisch)]	https://thesaurus-linguae-aegyptiae.de/lemma/23930	_	0
C15	ⲁⲃⲏϣ	92	ꜣbḫ.t	NA	NA	[a med. liquid]	[Flüssigkeit (offizinell)]	https://thesaurus-linguae-aegyptiae.de/lemma/92	_	0
C18	ⲁⲓⲃⲉ	36300	ꜥb.w	NA	NA	impurity; taint	Unheil; Sündhaftes; Schmutz; Infektion	https://thesaurus-linguae-aegyptiae.de/lemma/36300	_	0
C24	ⲁⲉⲓⲕ	41430	ꜥq.y	d875	ꜥjq	ceremonial entrance (of the king)	feierlicher Einzug (des Königs)	https://thesaurus-linguae-aegyptiae.de/lemma/41430	https://thesaurus-linguae-aegyptiae.de/lemma/d875	0
C29	ⲁⲕⲱ	294	ꜣq.yt	NA	NA	loss	Verlust	https://thesaurus-linguae-aegyptiae.de/lemma/294	_	0
C32	ⲁⲕⲱⲛⲉ	32610	jkn	NA	NA	cup; jar	Schöpfnapf	https://thesaurus-linguae-aegyptiae.de/lemma/32610	_	0
C33	ⲁⲕⲏⲥ	41800	ꜥgsw	NA	NA	belt (Sem. loan word)	Gurt (?) (aus Leder)	https://thesaurus-linguae-aegyptiae.de/lemma/41800	_	0
C35	ⲁⲗ	NA	NA	d1060	ꜥlwꜣ	mute	stumm	_	https://thesaurus-linguae-aegyptiae.de/lemma/d1060	1
C36	ⲁⲗ	39180	ꜥr	d1052	ꜥl	pebble	Kiesel; Stein	https://thesaurus-linguae-aegyptiae.de/lemma/39180	https://thesaurus-linguae-aegyptiae.de/lemma/d1052	0
C37	ⲁⲗⲉ	21770	jꜥr	d1051	ꜥl	to mount up; to touch; to bring up	aufsteigen; berühren	https://thesaurus-linguae-aegyptiae.de/lemma/21770	https://thesaurus-linguae-aegyptiae.de/lemma/d1051	0
C46	ⲁⲗⲓ	20810	jꜣr.w	NA	NA	rushes (?)	Binse (ein Zyperngras)	https://thesaurus-linguae-aegyptiae.de/lemma/20810	_	0
C49	ⲁⲗⲟⲩ	NA	NA	d1059	ꜥlw	child	Kind	_	https://thesaurus-linguae-aegyptiae.de/lemma/d1059	1
C53	ⲁⲗⲱ	42980	wꜣr.t	NA	NA	rope; cord	Schnur; Strick	https://thesaurus-linguae-aegyptiae.de/lemma/42980	_	0
C54	ⲁⲗⲕⲉ	39740	ꜥrq.y	d1045	ꜥrqj	month's end (i.e., the last day)	letzter Monatstag	https://thesaurus-linguae-aegyptiae.de/lemma/39740	https://thesaurus-linguae-aegyptiae.de/lemma/d1045	0
C61	ⲁⲗⲓⲗ	39410	ꜥrꜥr	d1057	ꜥlꜥl	shrewmouse	Spitzmaus	https://thesaurus-linguae-aegyptiae.de/lemma/39410	https://thesaurus-linguae-aegyptiae.de/lemma/d1057	0
C63	ⲁⲗⲱⲗ	10460	ꜣrr	NA	NA	to be frustrated (?)	ungeduldig sein (?)	https://thesaurus-linguae-aegyptiae.de/lemma/10460	_	0
C64	ⲁⲗⲱⲗⲉ	39180	ꜥr	d1052	ꜥl	pebble	Kiesel; Stein	https://thesaurus-linguae-aegyptiae.de/lemma/39180	https://thesaurus-linguae-aegyptiae.de/lemma/d1052	0
C74	ⲁⲗⲱⲟⲩⲉ	39210	ꜥr.t	dm1427	ꜥrwe.t	(lotus) stalk; stem	Stängel (Lotos, Schilf)	https://thesaurus-linguae-aegyptiae.de/lemma/39210	https://thesaurus-linguae-aegyptiae.de/lemma/dm1427	0
C75	ⲁⲗⲓϫⲓ	167	ꜣrk.t	NA	NA	clay	Tonerde	https://thesaurus-linguae-aegyptiae.de/lemma/167	_	0
C78	ⲁⲗⲟϭ	39610	ꜥrq	d1142	ꜥkl	ankle (?)	Fußgelenk ("Gekrümmtes")	https://thesaurus-linguae-aegyptiae.de/lemma/39610	https://thesaurus-linguae-aegyptiae.de/lemma/d1142	0
C79	ⲁⲗⲟϭ	39610	ꜥrq	d1142	ꜥkl	ankle (?)	Fußgelenk ("Gekrümmtes")	https://thesaurus-linguae-aegyptiae.de/lemma/39610	https://thesaurus-linguae-aegyptiae.de/lemma/d1142	0
