ID	word	pos	lemma	hyperlemma	sahidic_word	tla	CDO	crum_cs_lemmatization_match	crum_cs_pos_match	crum_no_sahidic	sahidic_in_cs	score	freq	page	marcion	lemma_error	pos_error	notes
2	ϥ	PPERO	ⲛⲑⲟϥ	ⲛⲧⲟϥ	ϥ	C11282		0	0	0	0	0	2041	_	_			
4	ϥ	PPERS	ⲛⲑⲟϥ	ⲛⲧⲟϥ	ϥ	C11282		0	0	0	0	0	2041	_	_			
8	ⲛ	ACONJ	ⲛⲧⲉ	ⲛⲧⲉ	ⲛⲧⲉ	C2531		1	1	1	1	1	1215	258b	definite article			
9	ⲛ	ART	ⲡ	ⲡ	ⲛ	C2352		0	0	0	0	0	1215	_	_			
10	ⲛ	NEG	ⲛ	ⲛ	ⲛ	C2351		0	0	0	0	0	1215	_	_			
11	ⲛ	PPERO	ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	ⲛ	C11279		0	0	0	0	0	1215	_	_			This is the TLA ID for the suffix form ⲛ; for the actual form ⲁⲛⲟⲛ there is a separate TLA ID
13	ⲛ	PPERS	ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	ⲛ	C11279		0	0	0	0	0	1215	_	_			
15	ⲛ	PREP	ⲛ	ⲛ	ⲛ	C2348		0	0	0	0	0	1215	_	_			
16	ⲛ	PREP	ⲛⲁ	ⲛⲁ	ⲛ	C2350		0	0	0	0	0	1215	_	_			
19	ⲟⲩ	ART	ⲟⲩ	ⲟⲩ	ⲟⲩ	C4880		0	0	0	0	0	1200	_	_			
20	ⲟⲩ	FM	ⲟⲩ	ⲟⲩ	ⲟⲩ	MISSING		0	0	0	0	0	1200	_	_			can't find TLA/DDGLC entry for ⲟⲩ (although there is one for ⲟⲩⲕⲟⲩⲛ)
21	ⲟⲩ	PINT	ⲟⲩ	ⲟⲩ	ⲟⲩ	C4881		0	0	0	0	0	1200	_	_			
23	ⲟⲩ	PPERO	ⲛⲑⲱⲟⲩ	ⲛⲧⲟⲟⲩ	ⲟⲩ	C4883		0	0	0	0	0	1200	_	_			note that the TLA ID is for the suffix form ⲟⲩ; for ⲛⲧⲟⲟⲩ there's a separate TLA ID which we should use for the form ⲛⲑⲱⲟⲩ
25	ⲟⲩ	PPERS	ⲛⲑⲱⲟⲩ	ⲛⲧⲟⲟⲩ	ⲟⲩ	C4883		0	0	0	0	0	1200	_	_			
27	ⲁ	APST	ⲁ	ⲁ	ⲁ	C2		0	0	0	0	0	1092	_	_			
28	ⲁ	CFOC	ⲁⲣⲉ	ⲉⲣⲉ	ⲁ	C618		1	1	1	1	1	1092	1a	verbal prefix derived from ⲉⲓⲣⲉ, characterizes (a) perfectum (b) plusquamperfectum (c) aorist tenses			
29	ⲁ	FUT	ⲛⲁ	ⲛⲁ	ⲁ	C2381		0	0	0	0	0	1092	_	_			fused form following n- (e.g. ⲉ|ⲛ|ⲁ|ⲥⲱⲧⲉⲙ=ⲉ|ⲛ|ⲛⲁ|ⲥⲱⲧⲉⲙ)
30	ⲁ	PPERS	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	ⲁ	MISSING		0	0	0	0	0	1092	_	_			closest ID is C11278, but that only lists the 1st person forms ⲓ/ⲧ, no alpha (e.g. ⲉ|ⲧⲣ|ⲁ|ⲥⲱⲧⲙ)
32	ⲟⲩⲟϩ	CONJ	ⲟⲩⲟϩ	ⲁⲩⲱ	ⲁⲩⲱ	C240		0	0	0	0	0	994	_	_			
33	ⲟⲩⲟϩ	V	ⲟⲩⲱϩ	ⲟⲩⲱϩ	ⲟⲩⲱϩ	C5304	put, place, add	1	1	1	1	1	994	505b	put, set, be (there) ― intr: S,B,F ― tr: (επιτιθεναι) | intr: be placed, dwell (κατοικειν, κατασκηνουν, μενειν)			
35	ⲉ	CCIRC	ⲉⲣⲉ	ⲉⲣⲉ	ⲉ	C616		0	0	0	0	0	934	_	_			
39	ⲉ	NUM	ⲉ	ⲉ	ⲉ	MISSING		0	0	0	0	0	934	_	_			oddly only alpha and iota have TLA IDs as letters, should open an issue
